Date,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,France,0,0,0,0
2020-01-04,France,0,0,0,0
2020-01-05,France,0,0,0,0
2020-01-06,France,0,0,0,0
2020-01-07,France,0,0,0,0
2020-01-08,France,0,0,0,0
2020-01-09,France,0,0,0,0
2020-01-10,France,0,0,0,0
2020-01-11,France,0,0,0,0
2020-01-12,France,0,0,0,0
2020-01-13,France,0,0,0,0
2020-01-14,France,0,0,0,0
2020-01-15,France,0,0,0,0
2020-01-16,France,0,0,0,0
2020-01-17,France,0,0,0,0
2020-01-18,France,0,0,0,0
2020-01-19,France,0,0,0,0
2020-01-20,France,0,0,0,0
2020-01-21,France,0,0,0,0
2020-01-22,France,0,0,0,0
2020-01-23,France,0,0,0,0
2020-01-24,France,3,3,0,0
2020-01-25,France,0,3,0,0
2020-01-26,France,0,3,0,0
2020-01-27,France,0,3,0,0
2020-01-28,France,0,3,0,0
2020-01-29,France,1,4,0,0
2020-01-30,France,1,5,0,0
2020-01-31,France,1,6,0,0
2020-02-01,France,0,6,0,0
2020-02-02,France,0,6,0,0
2020-02-03,France,0,6,0,0
2020-02-04,France,0,6,0,0
2020-02-05,France,0,6,0,0
2020-02-06,France,0,6,0,0
2020-02-07,France,0,6,0,0
2020-02-08,France,5,11,0,0
2020-02-09,France,0,11,0,0
2020-02-10,France,0,11,0,0
2020-02-11,France,0,11,0,0
2020-02-12,France,0,11,0,0
2020-02-13,France,0,11,0,0
2020-02-14,France,0,11,0,0
2020-02-15,France,0,11,1,1
2020-02-16,France,0,11,0,1
2020-02-17,France,1,12,0,1
2020-02-18,France,0,12,0,1
2020-02-19,France,0,12,0,1
2020-02-20,France,0,12,0,1
2020-02-21,France,0,12,0,1
2020-02-22,France,0,12,0,1
2020-02-23,France,0,12,0,1
2020-02-24,France,0,12,0,1
2020-02-25,France,0,12,0,1
2020-02-26,France,2,14,0,1
2020-02-27,France,3,17,1,2
2020-02-28,France,21,38,0,2
2020-02-29,France,19,57,0,2
2020-03-01,France,43,100,0,2
2020-03-02,France,30,130,0,2
2020-03-03,France,48,178,1,3
2020-03-04,France,31,209,1,4
2020-03-05,France,73,282,0,4
2020-03-06,France,133,415,3,7
2020-03-07,France,190,605,2,9
2020-03-08,France,101,706,1,10
2020-03-09,France,410,1116,9,19
2020-03-10,France,286,1402,11,30
2020-03-11,France,372,1774,3,33
2020-03-12,France,496,2270,15,48
2020-03-13,France,586,2856,13,61
2020-03-14,France,778,3634,18,79
2020-03-15,France,830,4464,12,91
2020-03-16,France,916,5380,36,127
2020-03-17,France,1202,6582,21,148
2020-03-18,France,1075,7657,27,175
2020-03-19,France,1387,9044,69,244
2020-03-20,France,1840,10884,128,372
2020-03-21,France,1571,12455,78,450
2020-03-22,France,1841,14296,112,562
2020-03-23,France,1525,15821,112,674
2020-03-24,France,3810,19631,186,860
2020-03-25,France,2412,22043,240,1100
2020-03-26,France,2897,24940,230,1330
2020-03-27,France,3846,28786,365,1695
2020-03-28,France,3748,32534,297,1992
2020-03-29,France,4611,37145,319,2311
2020-03-30,France,2491,39636,291,2602
2020-03-31,France,4341,43977,415,3017
2020-04-01,France,7500,51477,497,3514
2020-04-02,France,4784,56261,505,4019
2020-04-03,France,2066,58327,471,4490
2020-04-04,France,5209,63536,2003,6493
2020-04-05,France,4221,67757,1053,7546
2020-04-06,France,1850,69607,518,8064
2020-04-07,France,3881,73488,832,8896
2020-04-08,France,3737,77225,1417,10313
2020-04-09,France,3869,81094,540,10853
2020-04-10,France,4256,85350,1339,12192
2020-04-11,France,4333,89683,987,13179
2020-04-12,France,3104,92787,635,13814
2020-04-13,France,1595,94382,560,14374
2020-04-14,France,2669,97051,572,14946
2020-04-15,France,5483,102534,762,15708
2020-04-16,France,2621,105155,1438,17146
2020-04-17,France,2623,107778,753,17899
2020-04-18,France,385,108163,760,18659
2020-04-19,France,2558,110721,635,19294
2020-04-20,France,742,111463,395,19689
2020-04-21,France,2050,113513,544,20233
2020-04-22,France,2638,116151,530,20763
2020-04-23,France,1810,117961,544,21307
2020-04-24,France,1623,119584,516,21823
2020-04-25,France,1755,121339,389,22212
2020-04-26,France,1537,122876,368,22580
2020-04-27,France,404,123280,241,22821
2020-04-28,France,1160,124440,440,23261
2020-04-29,France,1025,125465,366,23627
2020-04-30,France,1601,127066,427,24054
2020-05-01,France,1055,128121,288,24342
2020-05-02,France,601,128722,218,24560
2020-05-03,France,736,129458,164,24724
2020-05-04,France,250,129708,135,24859
2020-05-05,France,534,130242,306,25165
2020-05-06,France,1050,131292,326,25491
2020-05-07,France,4176,135468,278,25769
2020-05-08,France,512,135980,177,25946
2020-05-09,France,598,136578,242,26188
2020-05-10,France,430,137008,80,26268
2020-05-11,France,65,137073,70,26338
2020-05-12,France,863,137936,262,26600
2020-05-13,France,977,138913,348,26948
2020-05-14,France,985,139898,81,27029
2020-05-15,France,213,140111,349,27378
2020-05-16,France,73,140184,130,27508
2020-05-17,France,1110,141294,88,27596
2020-05-18,France,963,142257,66,27662
2020-05-19,France,1027,143284,186,27848
2020-05-20,France,131,143415,124,27972
2020-05-21,France,761,144176,109,28081
2020-05-22,France,226,144402,83,28164
2020-05-23,France,101,144503,74,28238
2020-05-24,France,692,145195,43,28281
2020-05-25,France,689,145884,34,28315
2020-05-26,France,649,146533,64,28379
2020-05-27,France,587,147120,98,28477
2020-05-28,France,552,147672,66,28543
2020-05-29,France,316,147988,65,28608
2020-05-30,France,126,148114,52,28660
2020-05-31,France,122,148236,57,28717
2020-06-01,France,554,148790,29,28746
2020-06-02,France,572,149362,30,28776
2020-06-03,France,548,149910,107,28883
2020-06-04,France,536,150446,81,28964
2020-06-05,France,207,150653,43,29007
2020-06-06,France,81,150734,46,29053
2020-06-07,France,507,151241,31,29084
2020-06-08,France,524,151765,13,29097
2020-06-09,France,449,152214,52,29149
2020-06-10,France,556,152770,85,29234
2020-06-11,France,485,153255,23,29257
2020-06-12,France,130,153385,27,29284
2020-06-13,France,133,153518,28,29312
2020-06-14,France,205,153723,23,29335
2020-06-15,France,470,154193,8,29343
2020-06-16,France,647,154840,30,29373
2020-06-17,France,459,155299,108,29481
2020-06-18,France,553,155852,28,29509
2020-06-19,France,85,155937,28,29537
2020-06-20,France,113,156050,14,29551
2020-06-21,France,155,156205,14,29565
